49.8,109.91,1.03s,1507.03\nTransfer/sec:,"503.27KB\n"")",,,,,,,
170.26,515.63,7.57s,1510.09\nTransfer/sec:,"504.30KB\n"")",,,,,,,
63.5,165.43,1.80s,1515.12\nTransfer/sec:,"505.98KB\n"")",,,,,,,
35.26,13.25,176.51,1520.53\nTransfer/sec:,"507.79KB\n"")",,,,,,,
32.34,10.05,64.74,1535.58\nTransfer/sec:,"512.81KB\n"")",,,,,,,
32.38,10.1,65.15,1548.55\nTransfer/sec:,"517.14KB\n"")",,,,,,,
49.49,107.83,980.48,1556.34\nTransfer/sec:,"519.74KB\n"")",,,,,,,
88.25,250.37,1.95s,1570.24\nTransfer/sec:,"524.39KB\n"")",,,,,,,
258.59,719.77,7.72s,1582.20\nTransfer/sec:,"528.38KB\n"")",,,,,,,
55.9,130.97,1.03s,1592.99\nTransfer/sec:,"531.98KB\n"")",,,,,,,
32.65,10.05,64.38,1603.84\nTransfer/sec:,"535.61KB\n"")",,,,,,,
225.14,672.38,6.61s,1607.86\nTransfer/sec:,"536.95KB\n"")",,,,,,,
89.5,249.09,1.85s,1612.59\nTransfer/sec:,"538.53KB\n"")",,,,,,,
128.48,383.18,3.78s,1624.65\nTransfer/sec:,"542.56KB\n"")",,,,,,,
70.15,227.44,1.82s,1639.53\nTransfer/sec:,"547.53KB\n"")",,,,,,,
28.7,9.6,64.13,1644.18\nTransfer/sec:,"549.08KB\n"")",,,,,,,
32.18,10.06,65.15,1669.15\nTransfer/sec:,"557.42KB\n"")",,,,,,,
342.01,970.68,7.69s,1687.94\nTransfer/sec:,"563.70KB\n"")",,,,,,,
64.37,143.7,1.27s,1707.66\nTransfer/sec:,"570.28KB\n"")",,,,,,,
58.06,176.21,1.78s,1721.14\nTransfer/sec:,"574.78KB\n"")",,,,,,,
156.93,484.62,7.70s,1705.59\nTransfer/sec:,"569.59KB\n"")",,,,,,,
47.14,38.67,666.11,1737.79\nTransfer/sec:,"580.35KB\n"")",,,,,,,
112.31,364.74,3.45s,1756.25\nTransfer/sec:,"586.51KB\n"")",,,,,,,
51.97,123.7,1.74s,1773.47\nTransfer/sec:,"592.26KB\n"")",,,,,,,
230.74,663.32,7.56s,1787.69\nTransfer/sec:,"597.01KB\n"")",,,,,,,
94.25,253.68,1.85s,1799.36\nTransfer/sec:,"600.91KB\n"")",,,,,,,
57.46,129.94,1.75s,1760.60\nTransfer/sec:,"587.96KB\n"")",,,,,,,
32.63,10.06,65.28,1823.81\nTransfer/sec:,"609.08KB\n"")",,,,,,,
81.33,236.01,1.81s,1831.31\nTransfer/sec:,"611.58KB\n"")",,,,,,,
64.72,166.23,1.78s,1849.60\nTransfer/sec:,"617.69KB\n"")",,,,,,,
234.35,669.44,7.57s,1863.36\nTransfer/sec:,"622.28KB\n"")",,,,,,,
73.51,161.43,1.82s,1871.84\nTransfer/sec:,"625.12KB\n"")",,,,,,,
32.11,10.03,64.26,1890.96\nTransfer/sec:,"631.50KB\n"")",,,,,,,
206.78,610.59,3.48s,1901.90\nTransfer/sec:,"635.15KB\n"")",,,,,,,
94.14,242.72,1.82s,1914.62\nTransfer/sec:,"639.40KB\n"")",,,,,,,
46.64,95.82,980.48,1929.48\nTransfer/sec:,"644.37KB\n"")",,,,,,,
244.4,799.56,7.71s,1943.27\nTransfer/sec:,"648.97KB\n"")",,,,,,,
31.07,54.95,1.81s,1898.09\nTransfer/sec:,"633.88KB\n"")",,,,,,,
28.91,9.47,62.59,1973.99\nTransfer/sec:,"659.23KB\n"")",,,,,,,
191.21,556.78,3.40s,1991.68\nTransfer/sec:,"665.12KB\n"")",,,,,,,
